date,followers,followerdifference,retweets,retweetsdifference
2021-07-01,4202972,4906,101443,-34929
2021-07-02,4207304,4332,26886,-74557
2021-07-03,4211918,4614,27094,208
2021-07-04,4216271,4353,27202,108
2021-07-05,4221479,5208,52047,24845
2021-07-06,4229038,7559,64814,12767
2021-07-07,4236793,7755,38488,-26326
2021-07-08,4242028,5235,38841,353
2021-07-09,4247196,5168,39013,172
2021-07-10,4251367,4171,39130,117
2021-07-11,4255359,3992,39247,117
2021-07-12,4259787,4428,0,-39247
2021-07-13,4264983,5196,30701,30701
2021-07-14,4269771,4788,35029,4328
2021-07-15,4275159,5388,90143,55114
2021-07-16,4278688,3529,91477,1334
2021-07-17,4282475,3787,91958,481
2021-07-18,4286278,3803,92306,348
2021-07-19,4290774,4496,111973,19667
2021-07-20,4295002,4228,80517,-31456
2021-07-21,4298838,3836,81064,547
2021-07-22,4303666,4828,53050,-28014
2021-07-23,4307788,4122,54385,1335
2021-07-24,4311717,3929,54840,455
2021-07-25,4314998,3281,55099,259
2021-07-26,4319666,4668,30293,-24806
2021-07-27,4324972,5306,30470,177
2021-07-28,4329371,4399,30654,184
2021-07-29,4333286,3915,15493,-15161
2021-07-30,4337585,4299,22342,6849
2021-07-31,4341966,4381,22984,642
2021-08-01,4346034,4068,23355,371
2021-08-02,4353422,7388,23657,302
2021-08-03,4361893,8471,62503,38846
2021-08-04,4369170,7277,74768,12265
2021-08-05,4376666,7496,65922,-8846
2021-08-06,4382194,5528,78198,12276
2021-08-07,4387221,5027,85617,7419
2021-08-08,4395544,8323,87847,2230
2021-08-09,4401958,6414,125847,38000
2021-08-10,4406961,5003,92875,-32972
2021-08-11,4411887,4926,107326,14451
2021-08-12,4417010,5123,93969,-13357
2021-08-13,4422805,5795,75348,-18621
2021-08-14,4429138,6333,75680,332
2021-08-15,4434947,5809,75961,281
2021-08-16,4440981,6034,41352,-34609
2021-08-17,4446161,5180,16732,-24620
2021-08-18,4452038,5877,0,-16732
2021-08-19,4457439,5401,0,0
2021-08-20,4463040,5601,0,0
2021-08-21,4470650,7610,7999,7999
2021-08-22,4476375,5725,9729,1730
2021-08-23,4497709,21334,211391,201662
2021-08-24,4507724,10015,229420,18029
2021-08-25,4515263,7539,233963,4543
2021-08-26,4529700,14437,490967,257004
2021-08-27,4538964,9264,541321,50354
2021-08-28,4551835,12871,684228,142907
2021-08-29,4559732,7897,694574,10346
2021-08-30,4570489,10757,628908,-65666
2021-08-31,4579771,9282,676598,47690
2021-09-01,4590845,11074,810022,133424
2021-09-02,4600006,9161,621853,-188169
2021-09-03,4609039,9033,735851,113998
2021-09-04,4615576,6537,596580,-139271
2021-09-05,4622484,6908,696126,99546
2021-09-06,4629222,6738,600591,-95535
2021-09-07,4636236,7014,738115,137524
2021-09-08,4645071,8835,778842,40727
2021-09-09,4653190,8119,669573,-109269
2021-09-10,4672320,19130,829704,160131
2021-09-11,4685029,12709,1016353,186649
2021-09-12,4696590,11561,1018517,2164
2021-09-13,4707819,11229,1006634,-11883
2021-09-14,4721375,13556,862376,-144258
2021-09-15,4731096,9721,704603,-157773
2021-09-16,4737626,6530,705858,1255
2021-09-17,4745521,7895,488414,-217444
2021-09-18,4752090,6569,319018,-169396
2021-09-19,4760717,8627,231252,-87766
2021-09-20,4769872,9155,210490,-20762
2021-09-21,4779056,9184,216098,5608
2021-09-22,4787509,8453,217301,1203
2021-09-23,4795413,7904,172531,-44770
2021-09-24,4802817,7404,196327,23796
2021-09-25,4810765,7948,190680,-5647
2021-09-26,4817778,7013,216808,26128
2021-09-27,4824791,7013,218645,1837
2021-09-28,4832546,7755,219493,848
2021-09-29,4841342,8796,219978,485
2021-09-30,4851327,9985,186131,-33847
2021-10-01,4859886,8559,26078,-160053
2021-10-02,4868680,8794,26164,86
2021-10-03,4878411,9731,0,-26164
2021-10-04,4887894,9483,0,0
2021-10-05,4906733,18839,0,0
2021-10-06,4923147,16414,0,0
2021-10-07,4928647,5500,14727,14727
2021-10-08,4939706,11059,18638,3911
2021-10-09,4950085,10379,47223,28585
2021-10-10,4959512,9427,55266,8043
2021-10-11,4968629,9117,56705,1439
2021-10-12,4978332,9703,57167,462
2021-10-13,4989222,10890,57469,302
2021-10-14,4999416,10194,37880,-19589
2021-10-15,5008044,8628,38060,180
2021-10-16,5016905,8861,0,-38060
2021-10-17,5025348,8443,0,0
2021-10-18,5035061,9713,0,0
2021-10-19,5043164,8103,26657,26657
2021-10-20,5052459,9295,0,-26657
2021-10-21,5060417,7958,41579,41579
2021-10-22,5069013,8596,42253,674
2021-10-23,5077570,8557,82050,39797
2021-10-24,5088398,10828,97990,15940
2021-10-25,5101011,12613,99625,1635
2021-10-26,5111242,10231,56835,-42790
2021-10-27,5120481,9239,105552,48717
2021-10-28,5129942,9461,162732,57180
2021-10-29,5138291,8349,166406,3674
2021-10-30,5148261,9970,0,-166406
2021-10-31,5155038,6777,168716,168716
2021-11-01,5163402,8364,0,-168716
2021-11-02,5170785,7383,0,0
2021-11-03,5177929,7144,155638,155638
2021-11-04,5187717,9788,112206,-43432
2021-11-05,5202296,14579,176929,64723
2021-11-06,5214783,12487,118837,-58092
2021-11-07,5226909,12126,133257,14420
2021-11-08,5239730,12821,108932,-24325
2021-11-09,5250297,10567,115762,6830
2021-11-10,5260421,10124,122969,7207
2021-11-11,5269882,9461,123712,743
2021-11-12,5280548,10666,91193,-32519
2021-11-13,5292450,11902,102766,11573
2021-11-14,5303775,11325,98352,-4414
2021-11-15,5314931,11156,74141,-24211
2021-11-16,5324045,9114,63181,-10960
2021-11-17,5332107,8062,73978,10797
2021-11-18,5341212,9105,0,-73978
2021-11-19,5355228,14016,54290,54290
2021-11-20,5368745,13517,55513,1223
2021-11-21,5377786,9041,48959,-6554
2021-11-22,5386932,9146,52134,3175
2021-11-23,5395624,8692,52602,468
2021-11-24,5403469,7845,52840,238
2021-11-25,5417805,14336,38521,-14319
2021-11-26,5425411,7606,55566,17045
2021-11-28,5440391,14980,45830,-9736
2021-11-29,5449743,9352,0,-45830
2021-11-30,5456854,7111,0,0
2021-12-01,5463764,6910,103943,103943
2021-12-02,5470260,6496,0,-103943
2021-12-03,5476628,6368,0,0
2021-12-04,5482585,5957,57866,57866
2021-12-05,5488648,6063,58087,221
2021-12-06,5494406,5758,20308,-37779
2021-12-07,5501975,7569,0,-20308
2021-12-08,5509476,7501,13719,13719
2021-12-09,5518282,8806,28254,14535
2021-12-10,5527117,8835,66102,37848
2021-12-11,5535906,8789,68506,2404
2021-12-12,5544747,8841,93086,24580
2021-12-13,5552396,7649,114330,21244
2021-12-14,5557914,5518,119605,5275
2021-12-15,5563390,5476,102091,-17514
2021-12-16,5569610,6220,101280,-811
2021-12-17,5574144,4534,67930,-33350
2021-12-18,5581153,7009,69145,1215
2021-12-19,5587055,5902,39112,-30033
2021-12-20,5592423,5368,18940,-20172
2021-12-21,5597659,5236,19100,160
2021-12-22,5602839,5180,26474,7374
2021-12-23,5608368,5529,7663,-18811
2021-12-24,5614275,5907,7844,181
2021-12-25,5619499,5224,7951,107
2021-12-26,5624776,5277,8029,78
2021-12-27,5630204,5428,8097,68
2021-12-28,5635842,5638,8164,67
2021-12-29,5641959,6117,0,-8164
2021-12-30,5648990,7031,0,0
2021-12-31,5656008,7018,0,0
2022-01-01,5662178,6170,0,0
2022-01-02,5668649,6471,0,0
2022-01-03,5678367,9718,107414,107414
2022-01-04,5685174,6807,116302,8888
2022-01-05,5690428,5254,117340,1038
2022-01-06,5695814,5386,117779,439
2022-01-07,5701505,5691,118031,252
2022-01-08,5707409,5904,118172,141
2022-01-10,5723534,16125,66088,-52084
2022-01-11,5728633,5099,74346,8258
2022-01-12,5735817,7184,75856,1510
2022-01-13,5741214,5397,76479,623
2022-01-14,5750251,9037,76910,431
2022-01-15,5757841,7590,77099,189
2022-01-16,5766816,8975,185371,108272
2022-01-17,5774121,7305,152977,-32394
2022-01-18,5780362,6241,117794,-35183
2022-01-19,5786720,6358,118111,317
2022-01-20,5792446,5726,118265,154
2022-01-21,5797904,5458,118402,137
2022-01-22,5803014,5110,118481,79
2022-01-23,5808278,5264,0,-118481
2022-01-24,5813619,5341,0,0
2022-01-25,5818437,4818,0,0
2022-01-26,5826045,7608,29788,29788
