date,listeners,rank
2021-03-05,257869,88
2021-03-09,250687,88
2021-03-10,248373,88
2021-03-11,245590,88
2021-03-12,245337,88
2021-03-13,245160,88
2021-03-14,245524,88
2021-03-15,245928,88
2021-03-16,246348,88
2021-03-17,247090,88
2021-03-18,247520,88
2021-03-19,247338,88
2021-03-20,247100,88
2021-03-21,246435,88
2021-03-22,245756,88
2021-03-23,244830,88
2021-03-24,244425,88
2021-03-25,243551,88
2021-03-26,243275,88
2021-03-27,242285,88
2021-03-28,241193,88
2021-03-29,239549,88
2021-03-30,237732,88
2021-03-31,236183,88
2021-04-01,234587,88
2021-04-02,232688,88
2021-04-03,230337,88
2021-04-04,227168,88
2021-04-05,224004,88
2021-04-06,221482,88
2021-04-07,219486,88
2021-04-08,217357,88
2021-04-09,217357,88
2021-04-10,213526,88
2021-04-11,210917,88
2021-04-12,207715,88
2021-04-13,204496,88
2021-04-14,202301,88
2021-04-15,199828,88
2021-04-16,198908,88
2021-04-17,197553,88
2021-04-18,196387,88
2021-04-19,194930,88
2021-04-20,193811,88
2021-04-30,187379,88
2021-05-01,188760,88
2021-05-02,190714,88
2021-05-03,192047,88
2021-05-04,193152,88
2021-05-05,193939,88
2021-05-06,194364,88
2021-05-07,194929,88
2021-05-08,195246,88
2021-05-09,195740,88
2021-05-10,196590,88
2021-05-11,197281,88
2021-05-12,197363,88
2021-05-13,196995,88
2021-05-14,197783,88
2021-05-15,198454,88
2021-05-16,198947,88
2021-05-17,199120,88
2021-05-18,199237,88
2021-05-19,198792,88
2021-05-20,198574,88
2021-05-21,198684,88
2021-05-22,198684,88
2021-05-23,198610,88
2021-05-24,199025,88
2021-05-25,199025,88
2021-05-26,198552,88
2021-05-27,198072,88
2021-05-28,198120,88
2021-05-29,197847,88
2021-05-30,197498,88
2021-05-31,197293,88
2021-06-01,196626,88
2021-06-02,196014,88
2021-06-03,196254,88
2021-06-04,196206,88
2021-06-05,195865,88
2021-06-06,195326,88
2021-06-07,195683,88
2021-06-08,195556,88
2021-06-09,195784,88
2021-06-10,196005,88
2021-06-11,195486,88
2021-06-12,194766,88
2021-06-13,193766,88
2021-06-14,194400,88
2021-06-15,194700,88
2021-06-16,195509,88
2021-06-17,195717,88
2021-06-18,195636,88
2021-06-19,195514,88
2021-06-20,195122,88
2021-06-21,195715,88
2021-06-22,196165,88
2021-06-23,196165,88
2021-06-24,197094,88
2021-06-25,196807,88
2021-06-26,196499,88
2021-06-27,196212,88
2021-06-28,196732,88
2021-06-29,197183,88
2021-06-30,197110,88
2021-07-01,196102,88
2021-07-02,196274,88
2021-07-03,196043,88
2021-07-04,195687,88
2021-07-05,195129,88
2021-07-06,194402,88
2021-07-07,193774,88
2021-07-08,192811,88
2021-07-09,192786,88
2021-07-10,192537,88
2021-07-11,192364,88
2021-07-12,192508,88
2021-07-13,192503,88
2021-07-14,192396,88
2021-07-15,192355,88
2021-07-16,192758,88
2021-07-17,192807,88
2021-07-18,192840,88
2021-07-19,192839,88
2021-07-20,192640,88
2021-07-21,192487,88
2021-07-22,191798,88
2021-07-23,191090,88
