date,listeners,rank
2020-06-27,258924,93
2020-06-28,258924,93
2020-06-29,272841,93
2020-06-30,281796,93
2020-07-01,289495,93
2020-07-02,289495,93
2020-07-03,289495,93
2020-07-04,289495,93
2020-07-05,289495,93
2020-07-06,313232,93
2020-07-07,313232,93
2020-07-08,313232,93
2020-07-09,313232,93
2020-07-10,313232,93
2020-07-11,331442,93
2020-07-12,331442,93
2020-07-13,331442,93
2020-07-14,331442,93
2020-07-15,331442,93
2020-07-16,344660,93
2020-07-17,344660,93
2020-07-18,344660,93
2020-07-19,344660,93
2020-07-20,344660,93
2020-07-21,362841,93
2020-07-22,362841,93
2020-07-23,362841,93
2020-07-24,362841,93
2020-07-25,362841,93
2020-07-26,384612,93
2020-07-27,384612,93
2020-07-28,384612,93
2020-07-29,384612,93
2020-07-30,370362,93
2020-07-31,370362,93
2020-08-01,370362,93
2020-08-02,370362,93
2020-08-03,370362,93
2020-08-04,361567,93
2020-08-05,361567,93
2020-08-06,361567,93
2020-08-07,355996,93
2020-08-08,355996,93
2020-08-09,355996,93
2020-08-10,355996,93
2020-08-11,355996,93
2020-08-12,348441,93
2020-08-13,348441,93
2020-08-14,348441,93
2020-08-15,348441,93
2020-08-16,342934,93
2020-08-17,341148,93
2020-08-18,339376,93
2020-08-19,337509,93
2020-08-20,337509,93
2020-08-21,335070,93
2020-08-22,335070,93
2020-08-23,335070,93
2020-08-24,322954,93
2020-08-25,322954,93
2020-08-26,322954,93
2020-08-27,322954,93
2020-08-28,310893,93
2020-08-29,308880,93
2020-08-30,313992,93
2020-08-31,318531,93
2020-09-01,321927,93
2020-09-02,326013,93
2020-09-03,330376,93
2020-09-04,334509,93
2020-09-05,339340,93
2020-09-06,339340,93
2020-09-07,348111,93
2020-09-08,351998,93
2020-09-09,355206,93
2020-09-10,358603,93
2020-09-11,358603,93
2020-09-12,365097,93
2020-09-13,367187,93
2020-09-14,370353,93
2020-09-15,373029,93
2020-09-16,373029,93
2020-09-17,373029,93
2020-09-18,373029,93
2020-09-19,373029,93
2020-09-20,388564,93
2020-09-21,392036,93
2020-09-22,392036,93
2020-09-23,392036,93
2020-09-24,392036,93
2020-09-25,392036,93
2020-09-26,410146,93
2020-09-27,410146,93
2020-09-28,408545,93
2020-09-29,407402,93
2020-09-30,407402,93
2020-10-01,407402,93
2020-10-02,407402,93
2020-10-03,407402,93
2020-10-04,407402,93
2020-10-05,410512,93
2020-10-06,410512,93
2020-10-07,410512,93
2020-10-08,410512,93
2020-10-09,410512,93
2020-10-10,426438,93
2020-10-11,426438,93
2020-10-12,426438,93
2020-10-13,426438,93
2020-10-14,426438,93
2020-10-15,432700,93
2020-10-16,432700,93
2020-10-17,432700,93
2020-10-18,432700,93
2020-10-19,432700,93
2020-10-20,437438,93
2020-10-21,438074,93
2020-10-22,438074,93
2020-10-23,438074,93
2020-10-24,438074,93
2020-10-25,438074,93
2020-10-26,440951,93
2020-10-27,440951,93
2020-10-28,440951,93
2020-10-29,440951,93
2020-10-30,440951,93
2020-10-31,448056,93
2020-11-01,448056,93
2020-11-02,448056,93
2020-11-03,448056,93
2020-11-04,448056,93
2020-11-05,429212,93
2020-11-06,429212,93
2020-11-07,429212,93
2020-11-08,429212,93
2020-11-09,429212,93
2020-11-10,411162,93
2020-11-11,411162,93
2020-11-12,411162,93
2020-11-13,411162,93
2020-11-14,411162,93
2020-11-15,394554,93
2020-11-16,394554,93
2020-11-17,394554,93
2020-11-18,394554,93
2020-11-19,394554,93
2020-11-20,377730,93
2020-11-21,377730,93
2020-11-22,377730,93
2020-11-23,377730,93
2020-11-24,377730,93
2020-11-25,362567,93
2020-11-26,362567,93
2020-11-27,362567,93
2020-11-28,362567,93
2020-11-29,362567,93
2020-11-30,337293,93
2020-12-01,337293,93
2020-12-02,332132,93
2020-12-03,332132,93
2020-12-04,332132,93
2020-12-05,332132,93
2020-12-06,332132,93
2020-12-07,332132,93
2020-12-08,317622,93
2020-12-09,317622,93
2020-12-10,317622,93
2020-12-11,317622,93
2020-12-12,317622,93
2020-12-13,303074,93
2020-12-14,303074,93
