date,followers,difference
2017-12-10,6700695,14580
2017-12-11,6715885,15190
2017-12-12,6729060,13175
2017-12-13,6742071,13011
2017-12-16,6792490,50419
2017-12-17,6796159,3669
2017-12-18,6809180,13021
2017-12-19,6825418,16238
2017-12-20,6842093,16675
2017-12-21,6857754,15661
2017-12-22,6875592,17838
2017-12-23,6911167,35575
2017-12-24,6928638,17471
2017-12-25,6943908,15270
2017-12-26,6960193,16285
2017-12-27,6977663,17470
2017-12-28,6995773,18110
2017-12-29,7015705,19932
2017-12-30,7036485,20780
2017-12-31,7056207,19722
2018-01-01,7074030,17823
2018-01-02,7092362,18332
2018-01-03,7112138,19776
2018-01-04,7131880,19742
2018-01-05,7146281,14401
2018-01-06,7165394,19113
2018-01-07,7184422,19028
2018-01-08,7206072,21650
2018-01-09,7221410,15338
2018-01-10,7234241,12831
2018-01-11,7249931,15690
2018-01-12,7268059,18128
2018-01-13,7287496,19437
2018-01-14,7309980,22484
2018-01-15,7330694,20714
2018-01-16,7347970,17276
2018-01-17,7366906,18936
2018-01-18,7383164,16258
2018-01-19,7397431,14267
2018-01-20,7411006,13575
2018-01-21,7430956,19950
2018-01-22,7450561,19605
2018-01-23,7465750,15189
2018-01-24,7480382,14632
2018-01-25,7494965,14583
2018-01-26,7510042,15077
2018-01-27,7527927,17885
2018-01-28,7547558,19631
2018-01-29,7570565,23007
2018-01-30,7587713,17148
2018-01-31,7602127,14414
2018-02-01,7619224,17097
2018-02-02,7633153,13929
2018-02-03,7650633,17480
2018-02-04,7673205,22572
2018-02-05,7693911,20706
2018-02-06,7708187,14276
2018-02-07,7721504,13317
2018-02-08,7736408,14904
2018-02-09,7750451,14043
2018-02-10,7765811,15360
2018-02-11,7782766,16955
2018-02-12,7803051,20285
2018-02-13,7815604,12553
2018-02-14,7828853,13249
2018-02-15,7842826,13973
2018-02-16,7862679,19853
2018-02-17,7882276,19597
2018-02-18,7902124,19848
2018-02-19,7921766,19642
2018-02-20,7938541,16775
2018-02-21,7953403,14862
2018-02-22,7968097,14694
2018-02-23,7983375,15278
2018-02-24,8002302,18927
2018-02-25,8026066,23764
2018-02-26,8049356,23290
2018-02-27,8062972,13616
2018-02-28,8075915,12943
2018-03-01,8088854,12939
2018-03-02,8101588,12734
2018-03-03,8115285,13697
2018-03-04,8130766,15481
2018-03-05,8146912,16146
2018-03-06,8159343,12431
2018-03-07,8172197,12854
2018-03-08,8185460,13263
2018-03-09,8198572,13112
2018-03-10,8212821,14249
2018-03-11,8228923,16102
2018-03-12,8244192,15269
2018-03-13,8256503,12311
2018-03-14,8268749,12246
2018-03-15,8291328,22579
2018-03-16,8293763,2435
2018-03-17,8308712,14949
2018-03-18,8331717,23005
2018-03-19,8352597,20880
2018-03-20,8367020,14423
2018-03-21,8379904,12884
2018-03-22,8393813,13909
2018-03-23,8409664,15851
2018-03-24,8424652,14988
2018-03-25,8441604,16952
2018-03-26,8459030,17426
2018-03-27,8477858,18828
2018-03-28,8499164,21306
2018-03-29,8516945,17781
2018-03-30,8533059,16114
2018-04-28,8934785,401726
2018-04-29,8949692,14907
2018-04-30,8963801,14109
2018-05-01,8977214,13413
2018-05-02,8988614,11400
2018-05-03,9002084,13470
2018-05-04,9016168,14084
2018-05-05,9027443,11275
2018-05-06,9042304,14861
2018-05-07,9071125,28821
2018-05-08,9093468,22343
2018-05-09,9109122,15654
2018-05-10,9120733,11611
2018-05-11,9134726,13993
2018-05-12,9147785,13059
2018-05-13,9164625,16840
2018-05-14,9179910,15285
2018-05-15,9193854,13944
2018-05-16,9203233,9379
2018-05-17,9218101,14868
2018-05-18,9229552,11451
2018-05-19,9242513,12961
2018-05-20,9255602,13089
2018-05-21,9271194,15592
2018-05-22,9287240,16046
