date,likes,difference
2017-12-02,1299423,1956
2017-12-03,1301773,2350
2017-12-04,1304655,2882
2017-12-05,1306384,1729
2017-12-06,1308134,1750
2017-12-07,1309780,1646
2017-12-08,1311568,1788
2017-12-09,1313335,1767
2017-12-10,1315414,2079
2017-12-11,1317166,1752
2017-12-12,1318612,1446
2017-12-13,1320081,1469
2017-12-16,1327326,7245
2017-12-17,1327680,354
2017-12-18,1329261,1581
2017-12-19,1330713,1452
2017-12-20,1332258,1545
2017-12-21,1333914,1656
2017-12-22,1335580,1666
2017-12-23,1337960,2380
2017-12-24,1339785,1825
2017-12-25,1341485,1700
2017-12-26,1344189,2704
2017-12-27,1346909,2720
2017-12-28,1349316,2407
2017-12-29,1351605,2289
2017-12-30,1354256,2651
2017-12-31,1356796,2540
2018-01-01,1358705,1909
2018-01-02,1362601,3896
2018-01-03,1365460,2859
2018-01-04,1368127,2667
2018-01-05,1370121,1994
2018-01-06,1372416,2295
2018-01-07,1375008,2592
2018-01-08,1377913,2905
2018-01-09,1379915,2002
2018-01-10,1381669,1754
2018-01-11,1383531,1862
2018-01-12,1385389,1858
2018-01-13,1387400,2011
2018-01-14,1389915,2515
2018-01-15,1392312,2397
2018-01-16,1395395,3083
2018-01-17,1399556,4161
2018-01-18,1401835,2279
2018-01-19,1403777,1942
2018-01-20,1406084,2307
2018-01-21,1408837,2753
2018-01-22,1411226,2389
2018-01-23,1413012,1786
2018-01-24,1414705,1693
2018-01-25,1416366,1661
2018-01-26,1418476,2110
2018-01-27,1420812,2336
2018-01-28,1422882,2070
2018-01-29,1425353,2471
2018-01-30,1428159,2806
2018-01-31,1428678,519
2018-02-01,1430213,1535
2018-02-02,1431730,1517
2018-02-03,1433774,2044
2018-02-04,1436085,2311
2018-02-05,1438100,2015
2018-02-06,1439644,1544
2018-02-07,1440947,1303
2018-02-08,1442537,1590
2018-02-09,1444160,1623
2018-02-10,1445873,1713
2018-02-11,1449630,3757
2018-02-12,1454187,4557
2018-02-13,1456274,2087
2018-02-14,1457979,1705
2018-02-15,1459541,1562
2018-02-16,1461334,1793
2018-02-17,1463264,1930
2018-02-18,1465061,1797
2018-02-19,1466804,1743
2018-02-20,1468401,1597
2018-02-21,1469966,1565
2018-02-22,1471473,1507
2018-02-23,1472913,1440
2018-02-24,1474320,1407
2018-02-25,1476166,1846
2018-02-26,1478105,1939
2018-02-27,1479243,1138
2018-02-28,1480496,1253
2018-03-01,1481948,1452
2018-03-02,1483221,1273
2018-03-03,1484775,1554
2018-03-04,1486532,1757
2018-03-05,1488244,1712
2018-03-06,1489469,1225
2018-03-07,1490518,1049
2018-03-08,1491716,1198
2018-03-09,1493002,1286
2018-03-10,1494459,1457
2018-03-11,1496319,1860
2018-03-12,1498131,1812
2018-03-13,1499438,1307
2018-03-14,1500630,1192
2018-03-15,1503003,2373
2018-03-16,1503092,89
2018-03-17,1504168,1076
2018-03-18,1506027,1859
2018-03-19,1507748,1721
2018-03-20,1509096,1348
2018-03-21,1510367,1271
2018-03-22,1511988,1621
2018-03-23,1513512,1524
2018-03-24,1515136,1624
2018-03-25,1516970,1834
2018-03-26,1518694,1724
2018-03-27,1524605,5911
2018-03-28,1532337,7732
2018-03-29,1534719,2382
2018-03-30,1536416,1697
2018-03-31,1538263,1847
2018-04-01,1540250,1987
2018-04-02,1542269,2019
2018-04-03,1544646,2377
2018-04-04,1546520,1874
2018-04-05,1548158,1638
2018-04-06,1549835,1677
2018-04-07,1551786,1951
2018-04-08,1553289,1503
2018-04-09,1555178,1889
2018-04-10,1557186,2008
2018-04-11,1558796,1610
2018-04-12,1560366,1570
2018-04-13,1561955,1589
2018-04-14,1563441,1486
2018-04-15,1564991,1550
2018-04-16,1566713,1722
2018-04-17,1568195,1482
2018-04-18,1569729,1534
2018-04-19,1571224,1495
2018-04-20,1572696,1472
2018-04-21,1574158,1462
2018-04-22,1575823,1665
2018-04-23,1577312,1489
2018-04-24,1578723,1411
2018-04-25,1580273,1550
2018-04-26,1581863,1590
2018-04-27,1582983,1120
2018-04-28,1584484,1501
2018-04-29,1586100,1616
2018-04-30,1587542,1442
2018-05-01,1588904,1362
2018-05-02,1590614,1710
2018-05-03,1592044,1430
2018-05-04,1593302,1258
2018-05-05,1594956,1654
2018-05-06,1596849,1893
2018-05-07,1598668,1819
2018-05-08,1601605,2937
2018-05-09,1603412,1807
2018-05-10,1605182,1770
2018-05-11,1607843,2661
2018-05-12,1610280,2437
2018-05-13,1612347,2067
2018-05-14,1614199,1852
2018-05-15,1616819,2620
2018-05-16,1618524,1705
2018-05-17,1620594,2070
2018-05-18,1622882,2288
2018-05-19,1624482,1600
2018-05-20,1626182,1700
2018-05-21,1627867,1685
2018-05-22,1629358,1491
2018-05-23,1631026,1668
2018-05-24,1632822,1796
2018-05-25,1634491,1669
2018-05-26,1637406,2915
2018-05-27,1638773,1367
2018-05-28,1640725,1952
2018-05-29,1642558,1833
2018-05-30,1643558,1000
2018-05-31,1644051,493
2018-06-01,1648818,4767
2018-06-05,1664384,15566
2018-06-06,1671807,7423
2018-06-07,1684399,12592
2018-06-08,1692370,7971
2018-06-09,1703152,10782
2018-06-10,1710508,7356
2018-06-11,1714498,3990
2018-06-13,1725553,11055
2018-06-14,1754345,28792
2018-06-15,1775834,21489
2018-06-16,1808426,32592
2018-06-17,1825416,16990
2018-06-18,1834274,8858
2018-06-19,1860904,26630
2018-06-20,1871431,10527
2018-06-21,1881118,9687
2018-06-22,1897715,16597
2018-06-23,1911126,13411
2018-06-24,1921286,10160
2018-06-25,1926247,4961
2018-06-26,1934062,7815
2018-06-27,1941775,7713
2018-06-28,1943871,2096
2018-06-29,1947836,3965
2018-06-30,1956315,8479
2018-07-01,1959558,3243
2018-07-02,1963076,3518
2018-07-03,1967807,4731
2018-07-04,1979674,11867
2018-07-05,1987147,7473
2018-07-06,1993456,6309
2018-07-07,2000729,7273
2018-07-09,2011727,10998
2018-07-10,2022885,11158
2018-07-11,2028144,5259
2018-07-12,2035483,7339
2018-07-13,2042821,7338
2018-07-16,2062801,19980
2018-07-17,2067559,4758
2018-07-23,2100460,32901
2018-07-27,2122405,21945
2018-07-31,2143248,20843
2018-08-03,2152192,8944
2018-08-06,2166869,14677
2018-08-17,2213014,46145
2018-08-21,2230177,17163
2018-08-24,2243242,13065
2018-08-30,2268773,25531
