date,followers,followerdifference,likes,likesdifference
2021-11-21,27100000,0,234800000,200000
2021-11-22,27100000,0,234900000,100000
2021-11-23,27200000,100000,235100000,200000
2021-11-24,27200000,0,235200000,100000
2021-11-25,27200000,0,235400000,200000
2021-11-26,27200000,0,235600000,200000
2021-11-27,27200000,0,235700000,100000
2021-11-28,27300000,100000,235900000,200000
2021-11-29,27300000,0,236100000,200000
2021-11-30,27300000,0,236200000,100000
2021-12-02,27300000,0,236400000,200000
2021-12-03,27300000,0,236500000,100000
2021-12-04,27400000,100000,236600000,100000
2021-12-05,27400000,0,236700000,100000
2021-12-07,27400000,0,237000000,300000
2021-12-08,27400000,0,237100000,100000
2021-12-09,27400000,0,237200000,100000
2021-12-10,27400000,0,237300000,100000
2021-12-11,27500000,100000,237400000,100000
2021-12-12,27500000,0,237500000,100000
2021-12-13,27500000,0,237700000,200000
2021-12-14,27500000,0,237800000,100000
2021-12-15,27500000,0,237900000,100000
2021-12-16,27500000,0,238000000,100000
2021-12-17,27500000,0,238100000,100000
2021-12-18,27600000,100000,238200000,100000
2021-12-19,27600000,0,238300000,100000
2021-12-20,27600000,0,238400000,100000
2021-12-21,27600000,0,238500000,100000
2021-12-22,27600000,0,238600000,100000
2021-12-23,27600000,0,238700000,100000
2021-12-24,27600000,0,238800000,100000
2021-12-25,27600000,0,238900000,100000
2021-12-26,27700000,100000,239000000,100000
2021-12-27,27700000,0,239100000,100000
2021-12-28,27700000,0,239200000,100000
2021-12-29,27700000,0,239300000,100000
2021-12-30,27700000,0,239500000,200000
2021-12-31,27700000,0,239600000,100000
2022-01-01,27700000,0,239700000,100000
2022-01-02,27700000,0,239800000,100000
2022-01-03,27800000,100000,239900000,100000
2022-01-04,27800000,0,240000000,100000
2022-01-05,27800000,0,240100000,100000
2022-01-06,27800000,0,240200000,100000
2022-01-08,27800000,0,240400000,200000
2022-01-10,27800000,0,240700000,300000
2022-01-11,27900000,100000,240700000,0
2022-01-13,27900000,0,240900000,200000
2022-01-14,27900000,0,241000000,100000
2022-01-15,27900000,0,241100000,100000
2022-01-16,27900000,0,241200000,100000
2022-01-17,27900000,0,241300000,100000
2022-01-18,27900000,0,241400000,100000
2022-01-19,27900000,0,241400000,0
2022-01-20,28000000,100000,241500000,100000
2022-01-21,28000000,0,241600000,100000
2022-01-22,28000000,0,241700000,100000
2022-01-23,28000000,0,241800000,100000
2022-01-24,28000000,0,241900000,100000
2022-01-25,28000000,0,242000000,100000
2022-01-26,28000000,0,242100000,100000
